titulo,artista,duracao,album,genero
Start very,Billie Eilish,3.0,Happier Than Ever,Alternative
High,Olivia Rodrigo,3.52,SOUR,Pop
Same we,BTS,3.18,Map of the Soul,Pop
Different,Ed Sheeran,4.01,Subtract,Folk
Friend,The Beatles,2.2,Abbey Road,Rock
Golden Dream 1,Ariana Vale,2.0,First Light,Pop
Silent Dream 2,Ruby Moon,2.62,Golden Hour,Electronic
Broken Dream 3,Mason Reed,3.23,Neon Days,Alternative
Midnight Dream 4,The North Lights,3.85,Wild Heart,Lo-Fi
Electric Dream 5,The Quiet Sons,4.47,Open Roads,Indie
Wild Dream 6,Clara West,5.08,Winter Notes,Folk
Hidden Dream 7,Maya Stone,5.7,Midnight Radio,Jazz
Bright Dream 8,Ethan Ray,6.32,Hidden Places,Rock
Velvet Dream 9,Violet Storm,2.6,Signal Lost,R&B
Crystal Dream 10,Liam Archer,3.22,Endless Route,Hip-Hop
Falling Dream 11,Luna Vale,3.83,Northbound,Pop
Burning Dream 12,Daniel Cruz,4.45,After Rain,Electronic
Distant Dream 13,Nova Echo,5.07,Lunar Tide,Alternative
Open Dream 14,Noah Carter,5.68,Quiet Storm,Lo-Fi
Shadow Dream 15,Mila Harper,6.3,Velvet Noise,Indie
Rapid Dream 16,Sofia Lane,2.58,Blue Horizon,Folk
Endless Dream 17,Indie Harbor,3.2,Summer Glass,Jazz
Blue Dream 18,The Daybreaks,3.82,Paper Trails,Rock
Paper Dream 19,Atlas Bloom,4.43,Crystal Frames,R&B
Northern Dream 20,Olivia Fox,5.05,City Echoes,Hip-Hop
Neon Dream 21,Ariana Vale,5.67,First Light,Pop
Lunar Dream 22,Ruby Moon,6.28,Golden Hour,Electronic
Autumn Dream 23,Mason Reed,2.57,Neon Days,Alternative
Winter Dream 24,The North Lights,3.18,Wild Heart,Lo-Fi
Summer Dream 25,The Quiet Sons,3.8,Open Roads,Indie
Empty Dream 26,Clara West,4.42,Winter Notes,Folk
Gentle Dream 27,Maya Stone,5.03,Midnight Radio,Jazz
Rising Dream 28,Ethan Ray,5.65,Hidden Places,Rock
Shining Dream 29,Violet Storm,6.27,Signal Lost,R&B
Urban Dream 30,Liam Archer,2.55,Endless Route,Hip-Hop
Golden Road 31,Luna Vale,3.17,Northbound,Pop
Silent Road 32,Daniel Cruz,3.78,After Rain,Electronic
Broken Road 33,Nova Echo,4.4,Lunar Tide,Alternative
Midnight Road 34,Noah Carter,5.02,Quiet Storm,Lo-Fi
Electric Road 35,Mila Harper,5.63,Velvet Noise,Indie
Wild Road 36,Sofia Lane,6.25,Blue Horizon,Folk
Hidden Road 37,Indie Harbor,2.53,Summer Glass,Jazz
Bright Road 38,The Daybreaks,3.15,Paper Trails,Rock
Velvet Road 39,Atlas Bloom,3.77,Crystal Frames,R&B
Crystal Road 40,Olivia Fox,4.38,City Echoes,Hip-Hop
Falling Road 41,Ariana Vale,5.0,First Light,Pop
Burning Road 42,Ruby Moon,5.62,Golden Hour,Electronic
Distant Road 43,Mason Reed,6.23,Neon Days,Alternative
Open Road 44,The North Lights,2.52,Wild Heart,Lo-Fi
Shadow Road 45,The Quiet Sons,3.13,Open Roads,Indie
Rapid Road 46,Clara West,3.75,Winter Notes,Folk
Endless Road 47,Maya Stone,4.37,Midnight Radio,Jazz
